FIRE_NUMBER,VERSION_NUMBER,FIRE_YEAR,FIRE_CAUSE,FIRE_LABEL,FIRE_SIZE_HECTARES,SOURCE,GPS_TRACK_DATE,LOAD_DATE,FIRE_DATE,CREATION_METHOD,FEATURE_CODE,OBJECTID,SE_ANNO_CAD_DATA,FEATURE_AREA_SQM,FEATURE_LENGTH_M,MONTH,MONTH_NAME
C40043,2010052601.0,2010,Person,2010-C40043,20.2,OZIX,2010-05-26Z,2010-05-26Z,,GPS-TRACK,JA70003000,3202140,,202776.0894,4102.6449,,
C40057,2010052501.0,2010,Person,2010-C40057,13.7,OZIX,2010-06-28Z,2010-06-28Z,,GPS-TRACK,JA70003000,3202141,,137257.4783,2088.3175,,
C40074,2010092901.0,2010,Lightning,2010-C40074,1.4,OZIX,2010-09-29Z,2010-09-29Z,,GPS-TRACK,JA70003000,3202142,,14109.9707,501.7014,,
C40232,2010082001.0,2010,Lightning,2010-C40232,31.1,OZIX,2010-08-20Z,2010-08-20Z,,GPS-TRACK,JA70003000,3202143,,311018.1631,2413.3748,,
C40328,2010082001.0,2010,Lightning,2010-C40328,18.8,OZIX,2010-08-20Z,2010-08-20Z,,GPS-TRACK,JA70003000,3202144,,188976.3391,2657.683,,
C40336,2010080501.0,2010,Lightning,2010-C40336,2.1,OZIX,2010-10-05Z,2010-10-05Z,,GPS-TRACK,JA70003000,3202145,,21591.8643,737.2102,,
C40365,2010082001.0,2010,Lightning,2010-C40365,0.7,OZIX,2010-08-20Z,2010-08-20Z,,GPS-TRACK,JA70003000,3202146,,7221.5343,327.2982,,
C40404,2010102201.0,2010,Person,2010-C40404,244.4,OZIX,2010-10-22Z,2010-10-22Z,,GPS-TRACK,JA70003000,3202147,,2444511.4711,9942.6534,,
C40410,2010110101.0,2010,Person,2010-C40410,1.0,OZIX,2010-11-01Z,2010-11-01Z,,GPS-TRACK,JA70003000,3202148,,10953.1152,569.398,,
C40419,2010120801.0,2010,Person,2010-C40419,25.1,OZIX,2010-12-08Z,2010-12-08Z,,GPS-TRACK,JA70003000,3202149,,251791.536,2078.6644,,
C50003,2010040501.0,2010,Person,2010-C50003,0.3,OZIX,2010-04-06Z,2010-04-06Z,,GPS-TRACK,JA70003000,3202150,,3986.8814,268.4784,,
C50010,2010041301.0,2010,Person,2010-C50010,6.8,OZIX,2010-04-13Z,2010-04-13Z,,GPS-TRACK,JA70003000,3202151,,68570.6049,2515.7725,,
C50014,2010041401.0,2010,Person,2010-C50014,20.8,OZIX,2010-06-29Z,2010-06-29Z,,GPS-TRACK,JA70003000,3202152,,208812.2686,2188.0165,,
C50017,2010041501.0,2010,Person,2010-C50017,20.4,OZIX,2010-09-29Z,2010-09-29Z,,GPS-TRACK,JA70003000,3202153,,204073.167,1727.3173,,
C10022,2010041801.0,2010,Person,2010-C10022,1.8,OZIX,2010-06-08Z,2010-06-08Z,,GPS-TRACK,JA70003000,3202065,,18312.7248,1221.4714,,
C10040,2010043001.0,2010,Person,2010-C10040,1.1,OZIX,2010-06-08Z,2010-06-08Z,,GPS-TRACK,JA70003000,3202066,,11168.4448,726.2636,,
C50030,2010042101.0,2010,Person,2010-C50030,3.1,OZIX,2010-07-02Z,2010-07-02Z,,GPS-TRACK,JA70003000,3202154,,31629.7206,1093.1797,,
C50033,2010042401.0,2010,Person,2010-C50033,4.3,OZIX,2010-06-23Z,2010-06-23Z,,GPS-TRACK,JA70003000,3202155,,43077.9747,1573.0286,,
C50054,2010061501.0,2010,Person,2010-C50054,139.6,OZIX,2010-06-15Z,2010-06-15Z,,GPS-TRACK,JA70003000,3202156,,1396180.1968,7058.1057,,
C50076,2010062101.0,2010,Person,2010-C50076,144.1,OZIX,2010-06-29Z,2010-06-29Z,,GPS-TRACK,JA70003000,3202157,,1441132.5572,6330.5545,,
C10060,2010060101.0,2010,Person,2010-C10060,1.9,OZIX,2010-06-03Z,2010-06-03Z,,GPS-TRACK,JA70003000,3202067,,19264.3785,708.6319,,
C10069,2010061402.0,2010,Person,2010-C10069,1.3,OZIX,2010-07-02Z,2010-07-02Z,,GPS-TRACK,JA70003000,3202068,,13280.806,622.3857,,
C10094,2010070801.0,2010,Lightning,2010-C10094,2.1,OZIX,2010-09-29Z,2010-09-29Z,,GPS-TRACK,JA70003000,3202069,,21936.6884,1030.5468,,
C50096,2010081702.0,2010,Lightning,2010-C50096,4274.0,NIROPS,2010-08-17Z,2010-08-18Z,,GPS-TRACK,JA70003000,3202158,,42740351.5275,73111.0986,,
C50120,2010080901.0,2010,Person,2010-C50120,177.2,NIROPS,2010-08-09Z,2010-08-10Z,,GPS-TRACK,JA70003000,3202159,,1772018.7487,8005.2784,,
C50183,2010081601.0,2010,Lightning,2010-C50183,5269.6,OZIX,2010-08-16Z,2010-08-23Z,,GPS-TRACK,JA70003000,3202160,,52696731.5135,45353.8917,,
C50186,2010082401.0,2010,Lightning,2010-C50186,16236.6,OZIX,2010-08-24Z,2010-08-24Z,,GPS-TRACK,JA70003000,3202161,,162366057.4611,140632.7604,,
C50234,2010081901.0,2010,Lightning,2010-C50234,11638.6,OZIX,2010-08-19Z,2010-08-19Z,,GPS-TRACK,JA70003000,3202162,,116386937.1272,131426.2148,,
C50238,2010081302.0,2010,Lightning,2010-C50238,1589.5,OZIX,2010-08-13Z,2010-08-14Z,,GPS-TRACK,JA70003000,3202163,,15895545.8354,40060.4026,,
C50247,2010072901.0,2010,Lightning,2010-C50247,2.2,OZIX,2010-10-06Z,2010-10-06Z,,GPS-TRACK,JA70003000,3202164,,22460.9051,776.8082,,
C50285,2010081001.0,2010,Lightning,2010-C50285,100.0,OZIX,2010-09-29Z,2010-09-29Z,,GPS-TRACK,JA70003000,3202165,,1000452.3749,6278.8623,,
C10112,2010072501.0,2010,Lightning,2010-C10112,445.4,OZIX,2010-07-25Z,2010-07-26Z,,GPS-TRACK,JA70003000,3202070,,4454416.1936,16967.2936,,
C10191,2010090401.0,2010,Lightning,2010-C10191,16976.5,OZIX,2010-09-03Z,2010-09-04Z,,GPS-TRACK,JA70003000,3202071,,169765697.9439,153077.4971,,
C10192,2010080301.0,2010,Lightning,2010-C10192,1020.7,NIROPS,2010-08-03Z,2010-08-03Z,,GPS-TRACK,JA70003000,3202072,,10207559.2583,21335.8624,,
C10199,2010090701.0,2010,Lightning,2010-C10199,2385.4,OZIX,2010-09-07Z,2010-09-08Z,,GPS-TRACK,JA70003000,3202073,,23854621.545,33248.3702,,
C10205,2010090501.0,2010,Lightning,2010-C10205,35506.3,OZIX,2010-09-05Z,2010-09-08Z,,GPS-TRACK,JA70003000,3202074,,355063710.8312,274406.4696,,
C10209,2010080403.0,2010,Lightning,2010-C10209,2449.5,OZIX,2010-08-04Z,2010-08-05Z,,GPS-TRACK,JA70003000,3202075,,24495999.3367,34983.7457,,
C10211,2010082601.0,2010,Lightning,2010-C10211,0.0,OZIX,2010-08-26Z,2010-08-26Z,,GPS-TRACK,JA70003000,3202076,,265.0206,59.8328,,
C10212,2010082601.0,2010,Lightning,2010-C10212,1.3,OZIX,2010-08-26Z,2010-08-26Z,,GPS-TRACK,JA70003000,3202077,,13671.495,516.0199,,
C10213,2010082601.0,2010,Lightning,2010-C10213,0.0,OZIX,2010-08-26Z,2010-08-26Z,,GPS-TRACK,JA70003000,3202078,,363.5686,70.2238,,
C10218,2010090701.0,2010,Lightning,2010-C10218,1815.1,OZIX,2010-09-07Z,2010-09-08Z,,GPS-TRACK,JA70003000,3202079,,18151178.2124,31750.6444,,
C10221,2010083001.0,2010,Lightning,2010-C10221,2759.9,OZIX,2010-08-30Z,2010-08-30Z,,GPS-TRACK,JA70003000,3202080,,27599175.9205,30816.3022,,
C50286,2010081702.0,2010,Lightning,2010-C50286,42.1,NIROPS,2010-08-17Z,2010-08-18Z,,GPS-TRACK,JA70003000,3202166,,421474.6674,2848.6718,,
C50287,2010081702.0,2010,Lightning,2010-C50287,6273.2,NIROPS,2010-08-17Z,2010-08-18Z,,GPS-TRACK,JA70003000,3202167,,62732345.1819,76615.2812,,
C50297,2010081901.0,2010,Lightning,2010-C50297,6034.6,OZIX,2010-08-19Z,2010-08-20Z,,GPS-TRACK,JA70003000,3202168,,60346681.127,131028.292,,
C50300,2010081801.0,2010,Lightning,2010-C50300,3086.0,AWIS,2010-08-18Z,2010-08-19Z,,GPS-TRACK,JA70003000,3202169,,30860297.0906,81531.6026,,
C10225,2010082601.0,2010,Lightning,2010-C10225,96.1,OZIX,2010-08-26Z,2010-08-26Z,,GPS-TRACK,JA70003000,3202081,,961858.5128,4455.1736,,
C10226,2010082601.0,2010,Lightning,2010-C10226,9.9,OZIX,2010-08-26Z,2010-08-26Z,,GPS-TRACK,JA70003000,3202082,,99887.2219,1514.4926,,
C10245,2010092401.0,2010,Lightning,2010-C10245,7.4,OZIX,2010-09-28Z,2010-09-28Z,,GPS-TRACK,JA70003000,3202083,,74805.0604,1156.7479,,
C10254,2010080301.0,2010,Lightning,2010-C10254,67.2,NIROPS,2010-08-03Z,2010-08-03Z,,GPS-TRACK,JA70003000,3202084,,672304.8914,5383.0472,,
C10258,2010082001.0,2010,Lightning,2010-C10258,24.8,OZIX,2010-08-20Z,2010-08-21Z,,GPS-TRACK,JA70003000,3202085,,248265.9637,2410.9777,,
C50301,2010082401.0,2010,Lightning,2010-C50301,6033.9,OZIX,2010-08-24Z,2010-08-25Z,,GPS-TRACK,JA70003000,3202170,,60339519.3536,129993.1065,,
C50322,2010081001.0,2010,Lightning,2010-C50322,39.8,OZIX,2010-08-10Z,2010-08-11Z,,GPS-TRACK,JA70003000,3202171,,398573.5492,2486.0544,,
C50323,2010081001.0,2010,Lightning,2010-C50323,8.4,OZIX,2010-08-10Z,2010-08-11Z,,GPS-TRACK,JA70003000,3202172,,84473.4017,1106.7958,,
C50327,2010081701.0,2010,Lightning,2010-C50327,439.4,NIROPS,2010-08-17Z,2010-08-18Z,,GPS-TRACK,JA70003000,3202173,,4394594.9037,21394.5922,,
C50340,2010090901.0,2010,Lightning,2010-C50340,1023.5,OZIX,2010-09-09Z,2010-09-09Z,,GPS-TRACK,JA70003000,3202174,,10235003.3435,21968.2025,,
C50345,2010081401.0,2010,Lightning,2010-C50345,28.0,OZIX,2010-08-14Z,2010-08-14Z,,GPS-TRACK,JA70003000,3202175,,280710.7998,1921.0756,,
C10264,2010081601.0,2010,Lightning,2010-C10264,808.1,OZIX,2010-08-16Z,2010-08-16Z,,GPS-TRACK,JA70003000,3202086,,8081298.5736,11399.8566,,
C10265,2010080301.0,2010,Lightning,2010-C10265,2.2,NIROPS,2010-08-03Z,2010-08-03Z,,GPS-TRACK,JA70003000,3202087,,22389.6249,731.0906,,
C10273,2010081101.0,2010,Lightning,2010-C10273,767.9,OZIX,2011-10-08Z,2011-10-08Z,,GPS-TRACK,JA70003000,3202088,,7679437.6922,14461.8555,,
C10298,2010082601.0,2010,Lightning,2010-C10298,7.1,OZIX,2010-08-26Z,2010-08-26Z,,GPS-TRACK,JA70003000,3202089,,71143.3903,1245.0252,,
C10299,2010090601.0,2010,Lightning,2010-C10299,2273.4,OZIX,2010-09-06Z,2010-09-08Z,,GPS-TRACK,JA70003000,3202090,,22734928.95,63482.0851,,
C10307,2010081201.0,2010,Lightning,2010-C10307,6.0,OZIX,2012-10-08Z,2012-10-08Z,,GPS-TRACK,JA70003000,3202091,,60067.4703,960.7488,,
C10310,2010082901.0,2010,Lightning,2010-C10310,640.7,OZIX,2010-08-29Z,2010-08-30Z,,GPS-TRACK,JA70003000,3202092,,6407889.2463,13654.6386,,
C10315,2010081301.0,2010,Lightning,2010-C10315,12.4,OZIX,2010-08-13Z,2010-08-13Z,,GPS-TRACK,JA70003000,3202093,,124761.5846,1385.7377,,
C10320,2010081501.0,2010,Lightning,2010-C10320,175.5,OZIX,2010-08-15Z,2010-08-15Z,,GPS-TRACK,JA70003000,3202094,,1755061.1821,7404.8163,,
C10325,2011010701.0,2010,Person,2010-C10325,1.4,OZIX,2011-01-07Z,2011-01-07Z,,GPS-TRACK,JA70003000,3202095,,14988.4144,513.4066,,
C10373,2010081801.0,2010,Lightning,2010-C10373,304.8,OZIX,2010-08-19Z,2010-08-19Z,,GPS-TRACK,JA70003000,3202096,,3048462.5912,23090.2717,,
C10383,2010082901.0,2010,Lightning,2010-C10383,3.9,OZIX,2010-08-29Z,2010-08-29Z,,GPS-TRACK,JA70003000,3202097,,39791.2633,1213.746,,
C10424,2011010701.0,2010,Person,2010-C10424,7.9,OZIX,2011-01-07Z,2011-01-07Z,,GPS-TRACK,JA70003000,3202098,,79784.8877,1098.1193,,
C10425,2011010501.0,2010,Person,2010-C10425,1.9,OZIX,2011-01-05Z,2011-01-05Z,,GPS-TRACK,JA70003000,3202099,,19913.0591,583.4454,,
C20016,2010041501.0,2010,Person,2010-C20016,0.7,OZIX,2010-06-09Z,2010-06-09Z,,GPS-TRACK,JA70003000,3202100,,7482.7341,345.1463,,
C20018,2010042001.0,2010,Person,2010-C20018,197.9,OZIX,2010-04-20Z,2010-08-25Z,,GPS-TRACK,JA70003000,3202101,,1979787.2343,7885.6276,,
C20026,2010042101.0,2010,Person,2010-C20026,6.8,OZIX,2010-04-21Z,2010-04-21Z,,GPS-TRACK,JA70003000,3202102,,68570.6049,2515.7725,,
C20099,2010071601.0,2010,Lightning,2010-C20099,1.0,OZIX,2010-07-16Z,2010-07-16Z,,GPS-TRACK,JA70003000,3202103,,10415.5128,441.0478,,
C20158,2010082801.0,2010,Lightning,2010-C20158,31.5,OZIX,2010-08-28Z,2010-08-28Z,,GPS-TRACK,JA70003000,3202104,,315545.7029,2863.5068,,
C20174,2010081701.0,2010,Lightning,2010-C20174,9.3,OZIX,2010-08-17Z,2010-08-17Z,,GPS-TRACK,JA70003000,3202105,,93565.1723,1902.9826,,
C20175,2010081701.0,2010,Lightning,2010-C20175,0.2,OZIX,2010-08-17Z,2010-08-17Z,,GPS-TRACK,JA70003000,3202106,,2709.761,308.7523,,
C20189,2010090701.0,2010,Lightning,2010-C20189,15553.0,OZIX,2010-09-07Z,2010-09-08Z,,GPS-TRACK,JA70003000,3202107,,155530238.8921,82540.6703,,
C20200,2010083101.0,2010,Lightning,2010-C20200,3714.4,OZIX,2010-08-31Z,2010-08-31Z,,GPS-TRACK,JA70003000,3202108,,37144192.5358,45803.3662,,
C20201,2010082601.0,2010,Lightning,2010-C20201,291.2,OZIX,2010-08-26Z,2010-08-26Z,,GPS-TRACK,JA70003000,3202109,,2912935.383,7782.6771,,
C20210,2010082301.0,2010,Person,2010-C20210,22.1,OZIX,2010-08-23Z,2010-08-23Z,,GPS-TRACK,JA70003000,3202110,,221007.6037,2177.1869,,
C20215,2010081701.0,2010,Lightning,2010-C20215,13.7,OZIX,2010-08-17Z,2010-08-17Z,,GPS-TRACK,JA70003000,3202111,,137905.4699,1727.0704,,
C20223,2010081701.0,2010,Lightning,2010-C20223,12.7,OZIX,2010-08-18Z,2010-08-17Z,,GPS-TRACK,JA70003000,3202112,,127080.2359,1889.7949,,
C20237,2010072901.0,2010,Lightning,2010-C20237,2.4,OZIX,2010-10-08Z,2010-10-08Z,,GPS-TRACK,JA70003000,3202113,,24162.5673,742.4602,,
C20242,2010082301.0,2010,Lightning,2010-C20242,37.7,OZIX,2010-08-23Z,2010-08-23Z,,GPS-TRACK,JA70003000,3202114,,377446.0296,2928.955,,
C20243,2010082001.0,2010,Lightning,2010-C20243,7495.2,OZIX,2010-08-20Z,2010-08-24Z,,GPS-TRACK,JA70003000,3202115,,74952325.3,50774.1984,,
C20086,2014071601.0,2014,Person,2014-C20086,127.2,OZIX,2014-07-16Z,2014-07-17Z,,GPS-TRACK,JA70003000,3203174,,1272181.0123,13726.5077,,
C20142,2014081201.0,2014,Person,2014-C20142,1.5,OZIX,2014-08-12Z,2014-10-06Z,,GPS-TRACK,JA70003000,3203175,,15040.5494,561.3482,,
C20155,2014081601.0,2014,Lightning,2014-C20155,15.3,OZIX,2014-08-16Z,2014-10-06Z,,GPS-TRACK,JA70003000,3203176,,153803.8873,2574.4962,,
C30070,2014100601.0,2014,Lightning,2014-C30070,452.6,OZIX,2014-10-06Z,2014-10-07Z,,GPS-TRACK,JA70003000,3203177,,4526275.9261,8207.3394,,
C30167,2014090202.0,2014,Lightning,2014-C30167,5.0,OZIX,2014-09-02Z,2014-09-24Z,,GPS-TRACK,JA70003000,3203178,,50139.4317,1137.7321,,
C40028,2014042801.0,2014,Person,2014-C40028,9.8,OZIX,2014-05-06Z,2014-05-06Z,,GPS-TRACK,JA70003000,3203179,,98025.1965,1466.0425,,
C40033,2014043001.0,2014,Person,2014-C40033,7.9,OZIX,2014-04-30Z,2014-05-02Z,,GPS-TRACK,JA70003000,3203180,,79066.0121,1542.0291,,
C40168,2014082501.0,2014,Lightning,2014-C40168,1.8,OZIX,2014-08-25Z,2014-10-06Z,,GPS-TRACK,JA70003000,3203181,,18433.1673,827.6227,,
C40210,2014102201.0,2014,Person,2014-C40210,1.8,OZIX,2014-10-22Z,2014-10-22Z,,GPS-TRACK,JA70003000,3203182,,18976.3511,756.3998,,
C50002,2014040401.0,2014,Person,2014-C50002,8.0,OZIX,2014-04-16Z,2014-04-16Z,,GPS-TRACK,JA70003000,3203183,,80501.4201,1270.1592,,
C50004,2014041401.0,2014,Person,2014-C50004,4.2,OZIX,2014-04-14Z,2014-04-14Z,,GPS-TRACK,JA70003000,3203184,,42378.8283,2217.9045,,
C50008,2014041003.0,2014,Person,2014-C50008,6.4,OZIX,2014-04-10Z,2014-10-10Z,,GPS-TRACK,JA70003000,3203185,,64980.6739,1048.111,,
C50009,2014041101.0,2014,Person,2014-C50009,85.1,OZIX,2014-04-11Z,2015-04-10Z,,GPS-TRACK,JA70003000,3203186,,851408.7991,5657.7481,,
C50011,2014041201.0,2014,Person,2014-C50011,14.5,OZIX,2014-04-17Z,2014-04-17Z,,GPS-TRACK,JA70003000,3203187,,145113.6888,2290.535,,
C50018,2014041301.0,2014,Person,2014-C50018,11.1,OZIX,2014-04-17Z,2014-04-17Z,,GPS-TRACK,JA70003000,3203188,,111519.8579,2617.401,,
C50020,2014041701.0,2014,Person,2014-C50020,11.7,OZIX,2014-05-21Z,2014-05-21Z,,GPS-TRACK,JA70003000,3203189,,117660.3843,1877.008,,
C50022,2014042001.0,2014,Person,2014-C50022,1.0,OZIX,2014-05-21Z,2014-05-21Z,,GPS-TRACK,JA70003000,3203190,,10034.471,691.9015,,
C50023,2014042301.0,2014,Person,2014-C50023,1.1,OZIX,2014-10-03Z,2014-10-03Z,,GPS-TRACK,JA70003000,3203191,,11234.0228,449.0346,,
C50029,2014043001.0,2014,Person,2014-C50029,35.2,OZIX,2014-04-30Z,2014-04-30Z,,GPS-TRACK,JA70003000,3203192,,352355.1757,2678.9258,,
C50034,2014050101.0,2014,Person,2014-C50034,46.0,OZIX,2014-05-01Z,2014-09-24Z,,GPS-TRACK,JA70003000,3203193,,460955.7322,5037.8968,,
C50041,2014050201.0,2014,Person,2014-C50041,8.9,OZIX,2014-05-02Z,2014-09-29Z,,GPS-TRACK,JA70003000,3203194,,89627.8817,1692.4795,,
C50048,2014062001.0,2014,Person,2014-C50048,1.3,OZIX,2014-06-20Z,2014-06-20Z,,GPS-TRACK,JA70003000,3203195,,13158.4983,521.3165,,
C50051,2014051601.0,2014,Person,2014-C50051,1.7,OZIX,2014-05-21Z,2014-05-21Z,,GPS-TRACK,JA70003000,3203196,,17055.1171,731.2224,,
C50091,2014071701.0,2014,Person,2014-C50091,5.7,OZIX,2014-07-17Z,2014-09-24Z,,GPS-TRACK,JA70003000,3203197,,57581.4385,1122.2375,,
C50125,2014080501.0,2014,Lightning,2014-C50125,7.5,OZIX,2014-08-05Z,2014-08-05Z,,GPS-TRACK,JA70003000,3203198,,75234.3503,1010.5463,,
C50126,2014080401.0,2014,Lightning,2014-C50126,0.5,OZIX,2014-08-04Z,2014-10-10Z,,GPS-TRACK,JA70003000,3203199,,5906.3246,440.1639,,
C50135,2014080501.0,2014,Lightning,2014-C50135,1.2,OZIX,2014-08-05Z,2014-10-10Z,,GPS-TRACK,JA70003000,3203200,,12907.3395,479.2059,,
C50136,2014081201.0,2014,Lightning,2014-C50136,18.6,OZIX,2014-08-12Z,2014-08-12Z,,GPS-TRACK,JA70003000,3203201,,186159.8479,2209.8337,,
C50145,2014082401.0,2014,Person,2014-C50145,947.8,OZIX,2014-08-24Z,2014-08-24Z,,GPS-TRACK,JA70003000,3203202,,9478530.7486,16292.8463,,
C50146,2014081601.0,2014,Lightning,2014-C50146,44.6,OZIX,2014-08-16Z,2014-08-25Z,,GPS-TRACK,JA70003000,3203203,,446156.3322,3676.7617,,
C50158,2014081901.0,2014,Lightning,2014-C50158,471.1,OZIX,2014-08-19Z,2014-08-20Z,,GPS-TRACK,JA70003000,3203204,,4711730.5567,10527.757,,
C50161,2014081801.0,2014,Person,2014-C50161,4.9,OZIX,2014-09-16Z,2014-09-16Z,,GPS-TRACK,JA70003000,3203205,,49465.5334,1004.4535,,
C50180,2014090801.0,2014,Person,2014-C50180,1.5,OZIX,2014-09-08Z,2014-09-18Z,,GPS-TRACK,JA70003000,3203206,,15094.3256,704.4054,,
C50183,2014091401.0,2014,Person,2014-C50183,1.1,OZIX,2014-09-14Z,2014-10-01Z,,GPS-TRACK,JA70003000,3203207,,11155.5791,521.2019,,
C50188,2014092101.0,2014,Person,2014-C50188,1.6,OZIX,2014-10-22Z,2014-10-22Z,,GPS-TRACK,JA70003000,3203208,,16473.4552,937.6682,,
C50192,2014102301.0,2014,Person,2014-C50192,12.1,OZIX,2014-10-23Z,2014-10-23Z,,GPS-TRACK,JA70003000,3203209,,121924.3957,2632.0283,,
C50203,2014101701.0,2014,Person,2014-C50203,8.7,OZIX,2014-10-29Z,2014-10-29Z,,GPS-TRACK,JA70003000,3203210,,87174.1904,1478.2308,,
C50204,2014102901.0,2014,Person,2014-C50204,1.0,OZIX,2014-10-29Z,2015-04-10Z,,GPS-TRACK,JA70003000,3203211,,10635.5589,696.6717,,
C50206,2014101801.0,2014,Person,2014-C50206,6.4,OZIX,2014-10-29Z,2014-10-29Z,,GPS-TRACK,JA70003000,3203212,,64029.3489,1351.9313,,
C50224,2015052201.0,2014,Person,2014-C50224,3.4,KMZ,2015-03-29Z,2015-05-22Z,,kmz received 20 May 2015 from Danika Doucette,JA70003000,3203213,,33576.6578,1361.555,,
C10066,2014070501.0,2014,Lightning,2014-C10066,9.9,OZIX,2014-07-05Z,2014-07-09Z,,GPS-TRACK,JA70003000,3203163,,99985.0621,1782.5956,,
C10067,2014071301.0,2014,Lightning,2014-C10067,28.9,OZIX,2014-08-22Z,2014-08-22Z,,GPS-TRACK,JA70003000,3203164,,289319.6174,2676.3444,,
C10115,2014080302.0,2014,Lightning,2014-C10115,6.7,OZIX,2014-08-03Z,2014-09-19Z,,GPS-TRACK,JA70003000,3203165,,67198.4251,1200.7512,,
C10133,2014080701.0,2014,Lightning,2014-C10133,31.0,OZIX,2014-08-07Z,2014-09-15Z,,GPS-TRACK,JA70003000,3203166,,310193.0683,2343.573,,
C10139,2014090201.0,2014,Lightning,2014-C10139,17.1,OZIX,2014-09-02Z,2014-09-04Z,,GPS-TRACK,JA70003000,3203167,,171267.344,2448.0264,,
C10200,2014101101.0,2014,Person,2014-C10200,8.6,OZIX,2014-12-17Z,2014-12-17Z,,GPS-TRACK,JA70003000,3203168,,86283.0838,1855.0236,,
C10208,2014102301.0,2014,Person,2014-C10208,15.6,OZIX,2014-10-23Z,2014-10-23Z,,GPS-TRACK,JA70003000,3203169,,156847.9293,2215.9803,,
C20007,2014040901.0,2014,Person,2014-C20007,2.5,OZIX,2014-04-17Z,2014-04-17Z,,GPS-TRACK,JA70003000,3203170,,25050.3913,724.2752,,
C20013,2014041201.0,2014,Person,2014-C20013,1.7,OZIX,2014-04-17Z,2014-04-17Z,,GPS-TRACK,JA70003000,3203171,,17393.0146,848.9893,,
C20016,2014041301.0,2014,Person,2014-C20016,14.9,OZIX,2014-04-29Z,2014-04-29Z,,GPS-TRACK,JA70003000,3203172,,149119.3731,1925.0102,,
C20037,2014062001.0,2014,Person,2014-C20037,5.5,OZIX,2014-06-20Z,2014-06-20Z,,GPS-TRACK,JA70003000,3203173,,55605.3311,1428.6547,,
C30275,2013083001.0,2013,Lightning,2013-C30275,4.2,OZIX,2013-08-30Z,2013-08-30Z,,GPS-TRACK,JA70003000,3202883,,42696.7918,1213.1128,,
C30277,2013082801.0,2013,Lightning,2013-C30277,3.1,OZIX,2013-08-28Z,2013-08-28Z,,GPS-TRACK,JA70003000,3202884,,31592.8859,676.2227,,
C40031,2013051701.0,2013,Person,2013-C40031,13.3,OZIX,2013-05-17Z,2013-05-17Z,,GPS-TRACK,JA70003000,3202885,,133908.3507,4030.6793,,
C40075,2014032001.0,2013,Person,2013-C40075,0.0,OZIX,2014-03-20Z,2014-04-10Z,,GPS-TRACK,JA70003000,3202886,,899.3311,182.3596,,
C40076,2013071701.0,2013,Person,2013-C40076,0.1,OZIX,2013-07-17Z,2013-11-14Z,,GPS-TRACK,JA70003000,3202887,,1079.2432,143.9152,,
C40192,2013080401.0,2013,Lightning,2013-C40192,2.2,OZIX,2013-08-09Z,2013-08-09Z,,GPS-TRACK,JA70003000,3202888,,22184.9047,796.4997,,
C40206,2013092501.0,2013,Lightning,2013-C40206,5.6,OZIX,2013-09-25Z,2013-09-25Z,,GPS-TRACK,JA70003000,3202889,,56018.3563,1508.9324,,
C40250,2013082701.0,2013,Lightning,2013-C40250,12.8,OZIX,2013-08-27Z,2013-08-27Z,,GPS-TRACK,JA70003000,3202890,,128732.1604,1647.8699,,
C40285,2013081301.0,2013,Lightning,2013-C40285,1.0,OZIX,2013-08-19Z,2013-08-19Z,,GPS-TRACK,JA70003000,3202891,,10408.3342,596.4874,,
C40292,2013081501.0,2013,Lightning,2013-C40292,2.0,OZIX,2013-08-29Z,2013-08-29Z,,GPS-TRACK,JA70003000,3202892,,20624.3499,646.9007,,
C40312,2013090301.0,2013,Lightning,2013-C40312,6.3,OZIX,2013-09-03Z,2013-09-03Z,,GPS-TRACK,JA70003000,3202893,,63889.7681,1010.265,,
C40396,2013091801.0,2013,Person,2013-C40396,0.4,OZIX,2013-09-18Z,2013-09-18Z,,GPS-TRACK,JA70003000,3202894,,4497.237,287.9487,,
C50003,2013091201.0,2013,Person,2013-C50003,32.2,OZIX,2013-09-12Z,2013-09-12Z,,GPS-TRACK,JA70003000,3202895,,322130.7201,3035.9151,,
C50005,2013041701.0,2013,Person,2013-C50005,9.3,OZIX,2013-05-29Z,2013-05-29Z,,GPS-TRACK,JA70003000,3202896,,93567.7485,1782.9415,,
C50008,2013041701.0,2013,Person,2013-C50008,1.5,OZIX,2013-04-30Z,2013-04-30Z,,GPS-TRACK,JA70003000,3202897,,15561.8332,1000.7255,,
C50017,2013042301.0,2013,Person,2013-C50017,4.4,OZIX,2013-09-03Z,2013-09-03Z,,GPS-TRACK,JA70003000,3202898,,44318.0722,1525.1245,,
C50027,2013042601.0,2013,Person,2013-C50027,6.5,OZIX,2013-05-01Z,2013-05-01Z,,GPS-TRACK,JA70003000,3202899,,65022.0104,2357.8999,,
C50028,2013042601.0,2013,Person,2013-C50028,4.0,OZIX,2013-04-27Z,2013-04-30Z,,GPS-TRACK,JA70003000,3202900,,40180.4457,991.6277,,
C50033,2013051601.0,2013,Person,2013-C50033,2.3,OZIX,2013-05-17Z,2013-05-16Z,,GPS-TRACK,JA70003000,3202901,,23749.8002,1347.998,,
C50038,2013051501.0,2013,Person,2013-C50038,156.9,OZIX,2013-05-15Z,2013-05-15Z,,GPS-TRACK,JA70003000,3202902,,1569880.3859,7077.9168,,
