FIRE_NUMBER,FIRE_YEAR,FIRE_CAUSE,FIRE_DATE
G70247,2008,Lightning,2008-07-15
G70255,2008,Person,2008-07-21
G70267,2008,Lightning,2008-07-25
G70294,2008,Person,2008-08-04
G70332,2008,Lightning,2008-08-08
G70370,2008,Lightning,2008-08-09
G70372,2008,Lightning,2008-08-09
G70405,2008,Person,2008-09-26
G70420,2008,Person,2008-10-14
G70424,2008,Lightning,2008-09-20
C30362,2007,Lightning,2007-08-17
C40013,2007,Person,2007-04-16
C40045,2007,Person,2007-05-22
C40052,2007,Lightning,2007-05-26
C40059,2007,Person,2007-06-03
C40139,2007,Lightning,2007-07-13
C40144,2007,Lightning,2007-07-13
C40163,2007,Person,2007-07-16
C40206,2007,Lightning,2007-07-19
C40225,2007,Lightning,2007-07-02
C40229,2007,Lightning,2007-08-02
C40230,2007,Lightning,2007-08-02
C40270,2007,Lightning,2007-08-02
C40284,2007,Person,2007-08-15
C40288,2007,Lightning,2007-08-16
C40294,2007,Lightning,2007-08-16
K51610,2007,Person,2007-09-26
K51611,2007,Person,2007-09-27
K51826,2007,Person,2008-03-22
K60014,2007,Person,2007-04-06
K60021,2007,Person,2007-04-07
K60042,2007,Person,2007-04-11
K60074,2007,Person,2007-04-14
K60090,2007,Person,2007-04-24
K60283,2007,Person,2007-06-01
K60422,2007,Person,2007-06-30
K61102,2007,Person,2007-08-08
R40008,2007,Person,2007-04-27
R40032,2007,Person,2007-06-22
R50053,2007,Person,2007-08-15
V60051,2007,Person,2007-05-26
V60153,2007,Person,2007-07-08
V80205,2007,Person,2007-07-14
V90101,2007,Person,2007-06-16
V90171,2007,Person,2007-07-11
C10082,2008,Lightning,2008-07-01
C10122,2008,Lightning,2008-07-03
N40192,2006,Lightning,2006-08-04
N40276,2006,Lightning,2006-08-01
N40282,2006,Lightning,2006-07-23
N40291,2006,Lightning,2006-07-29
N40322,2006,Lightning,2006-07-24
C40298,2007,Lightning,2007-08-16
C40309,2007,Lightning,2007-08-16
C40310,2007,Lightning,2007-08-15
C40311,2007,Lightning,2007-08-16
C40312,2007,Lightning,2007-08-16
C40332,2007,Lightning,2007-08-16
C40333,2007,Lightning,2007-08-16
C40334,2007,Lightning,2007-08-16
C40353,2007,Lightning,2007-08-18
C40378,2007,Person,2007-09-03
C50008,2007,Person,2007-04-11
C50035,2007,Person,2007-05-13
C50036,2007,Person,2007-05-14
C50099,2007,Lightning,2007-07-13
K61166,2007,Person,2007-08-15
K70512,2007,Person,2007-07-07
K70531,2007,Person,2007-07-08
K70848,2007,Person,2007-07-27
K70927,2007,Lightning,2007-08-03
K71156,2007,Person,2007-08-14
K71165,2007,Lightning,2007-08-08
K71326,2007,Person,2007-08-23
N10078,2007,Person,2007-07-01
N10203,2007,Person,2007-07-16
C10143,2008,Lightning,2008-07-17
C10163,2008,Person,2008-07-24
C10199,2008,Lightning,2008-08-08
C10225,2008,Lightning,2008-08-17
C10318,2008,Person,2008-10-28
C20025,2008,Person,2008-04-24
C20028,2008,Person,2008-04-26
C20030,2008,Person,2008-04-28
N40322,2006,Lightning,2006-07-24
N40339,2006,Lightning,2006-07-24
N40349,2006,Lightning,2006-08-01
N40351,2006,Lightning,2006-08-04
C50118,2007,Lightning,2007-07-13
C50162,2007,Person,2007-07-15
C50164,2007,Lightning,2007-07-13
C50205,2007,Lightning,2007-08-02
C50224,2007,Lightning,2007-08-03
C50233,2007,Lightning,2007-08-03
C50241,2007,Lightning,2007-08-02
C50242,2007,Lightning,2007-08-02
C50246,2007,Lightning,2007-08-03
C50259,2007,Lightning,2007-08-03
C50291,2007,Lightning,2007-08-16
C50295,2007,Lightning,2007-08-03
C50318,2007,Lightning,2007-08-16
C50328,2007,Lightning,2007-08-16
C50340,2007,Lightning,2007-08-16
C50366,2007,Lightning,2007-08-16
C50386,2007,Person,2007-09-15
C50387,2007,Person,2007-09-15
G10057,2007,Person,2007-05-27
N10332,2007,Lightning,2007-07-18
N10356,2007,Lightning,2007-07-18
N10418,2007,Person,2007-08-03
N10693,2007,Lightning,2007-09-01
C20032,2008,Person,2008-05-01
C20033,2008,Person,2008-05-01
C20041,2008,Person,2008-05-01
C20053,2008,Lightning,2008-05-27
C20055,2008,Lightning,2008-05-28
C20104,2008,Lightning,2008-07-01
C20135,2008,Lightning,2008-07-14
C20136,2008,Lightning,2008-07-14
C20138,2008,Lightning,2008-07-14
C20142,2008,Lightning,2008-07-14
C20154,2008,Lightning,2008-07-19
C20177,2008,Lightning,2008-08-01
C20191,2008,Lightning,2008-08-07
C20194,2008,Lightning,2008-07-08
N40393,2006,Lightning,2006-08-01
N40399,2006,Lightning,2006-07-29
N40411,2006,Lightning,2006-08-21
G10070,2007,Person,2007-06-01
G10132,2007,Lightning,2007-07-03
G10188,2007,Lightning,2007-07-13
G10191,2007,Lightning,2007-07-13
G10192,2007,Lightning,2007-07-13
G10195,2007,Lightning,2007-07-13
G10220,2007,Lightning,2007-07-13
G10221,2007,Lightning,2007-07-14
G10235,2007,Lightning,2007-07-13
G10262,2007,Lightning,2007-07-15
G10264,2007,Lightning,2007-07-13
N20011,2007,Person,2007-04-22
N20048,2007,Person,2007-06-24
N20118,2007,Lightning,2007-07-13
N20145,2007,Lightning,2007-07-14
N20149,2007,Lightning,2007-07-14
N20195,2007,Lightning,2007-07-15
N20214,2007,Lightning,2007-07-15
C20202,2008,Lightning,2008-08-08
C20209,2008,Lightning,2008-08-09
C20222,2008,Lightning,2008-08-17
C20247,2008,Lightning,2008-08-17
C20259,2008,Lightning,2008-08-19
C20298,2008,Person,2008-09-27
C20299,2008,Person,2008-10-01
C20308,2008,Person,2008-10-20
C20314,2008,Person,2008-10-25
N50051,2006,Person,2006-06-27
N50308,2006,Lightning,2006-07-24
N50311,2006,Lightning,2006-08-05
G10336,2007,Lightning,2007-08-03
G10351,2007,Lightning,2007-07-23
G30064,2007,Person,2007-05-14
G30146,2007,Person,2007-07-12
G30181,2007,Lightning,2007-07-13
G30187,2007,Lightning,2007-07-13
G30205,2007,Lightning,2007-07-13
N20346,2007,Lightning,2007-07-17
N20362,2007,Lightning,2007-07-24
N20607,2007,Lightning,2007-08-18
N20764,2007,Person,2007-09-11
N20767,2007,Person,2007-09-12
C30038,2008,Person,2008-05-16
C30045,2008,Lightning,2008-05-20
C30056,2008,Lightning,2008-05-28
C30158,2008,Lightning,2008-07-21
C30179,2008,Lightning,2008-07-26
C30217,2008,Lightning,2008-08-15
C30239,2008,Lightning,2008-08-17
C30246,2008,Lightning,2008-08-17
C40006,2008,Person,2008-04-12
C40008,2008,Person,2008-04-12
N50314,2006,Lightning,2006-08-05
N50353,2006,Lightning,2006-07-26
N50365,2006,Lightning,2006-07-25
G30206,2007,Lightning,2007-07-13
G30208,2007,Lightning,2007-06-13
G30233,2007,Lightning,2007-07-14
G30252,2007,Lightning,2007-07-14
G30291,2007,Lightning,2007-07-18
G30307,2007,Lightning,2007-07-23
G30310,2007,Person,2007-07-31
G30313,2007,Lightning,2007-08-02
N20789,2007,Person,2007-09-15
N20789,2007,Person,2007-09-15
N20791,2007,Person,2007-09-14
C40009,2008,Person,2008-04-12
C40016,2008,Person,2008-04-14
C40017,2008,Person,2008-04-14
C40021,2008,Person,2008-04-17
N50408,2006,Lightning,2006-07-26
N50438,2006,Lightning,2006-08-01
N50613,2006,Person,2006-08-15
N50765,2006,Lightning,2006-08-28
G30313,2007,Lightning,2007-08-02
G30319,2007,Lightning,2007-08-02
G30326,2007,Lightning,2007-08-03
G30327,2007,Lightning,2007-08-02
G30328,2007,Lightning,2007-07-03
G30344,2007,Lightning,2007-08-07
G30350,2007,Lightning,2007-07-23
G40016,2007,Person,2007-05-05
G40033,2007,Person,2007-05-15
G40039,2007,Person,2007-05-18
N20792,2007,Person,2007-09-16
N40074,2007,Person,2007-07-06
N40157,2007,Lightning,2007-07-14
N40199,2007,Lightning,2007-07-14
N40269,2007,Person,2007-07-17
N40415,2007,Lightning,2007-08-03
N40424,2007,Lightning,2007-07-23
N40425,2007,Lightning,2007-07-23
C40036,2008,Person,2008-05-15
C40039,2008,Person,2008-05-16
C40083,2008,Lightning,2008-07-01
C40087,2008,Lightning,2008-07-01
C40088,2008,Lightning,2008-07-01
C40092,2008,Lightning,2008-07-01
C40129,2008,Person,2008-07-13
C40144,2008,Lightning,2008-07-17
C40147,2008,Lightning,2008-07-17
C40148,2008,Lightning,2008-07-17
C40149,2008,Lightning,2008-07-17
C40152,2008,Lightning,2008-07-17
C40153,2008,Lightning,2008-07-17
C40155,2008,Lightning,2008-07-17
C40156,2008,Lightning,2008-07-17
N50765,2006,Lightning,2006-08-28
N50866,2006,Lightning,2006-09-09
N70132,2006,Lightning,2006-06-05
N70278,2006,Lightning,2006-07-24
G40075,2007,Lightning,2007-06-03
G40100,2007,Lightning,2007-06-16
G50170,2007,Lightning,2007-07-13
G60011,2007,Person,2007-04-20
G60044,2007,Person,2007-04-16
G60045,2007,Person,2007-05-24
G60048,2007,Person,2007-05-24
G60156,2007,Lightning,2007-07-13
G60219,2007,Lightning,2007-07-13
G70009,2007,Person,2007-04-23
G70023,2007,Person,2007-05-11
G70032,2007,Person,2007-05-11
N40454,2007,Lightning,2007-08-03
N40456,2007,Lightning,2007-08-02
N50001,2007,Person,2007-04-01
N50030,2007,Person,2007-05-18
N50047,2007,Person,2007-04-19
C40157,2008,Lightning,2008-07-17
C40162,2008,Lightning,2008-07-17
C40206,2008,Lightning,2008-08-09
C40208,2008,Lightning,2008-08-09
C40252,2008,Lightning,2008-08-18
C40305,2008,Lightning,2008-10-13
C40316,2008,Person,2008-10-28
C40317,2008,Person,2008-10-28
C40328,2008,Person,2008-11-24
C50005,2008,Person,2008-04-12
C50007,2008,Person,2008-04-12
