longitude,latitude,FIRE_DATE,FIRE_CAUSE,FIRE_SIZE_HECTARES,FIRE_YEAR
-121.06427927127415,51.205052180336665,2012-08-06,Lightning,0.6,2012
-122.07201719633132,51.21656201310498,2012-08-21,Person,404.6,2012
-120.88964363892673,51.15755665814585,2012-05-22,Person,0.1,2012
-123.20119495736708,52.03976649029857,2012-04-06,Person,1.1,2012
-125.4729051356944,52.98174587422029,2014-08-05,Lightning,17.1,2014
-125.01093489309457,52.892091970911075,2014-10-10,Person,8.6,2014
-124.23310225956453,53.114961069923204,2014-07-08,Lightning,21089.6,2014
-122.74538678823171,52.842944438256524,2014-10-12,Person,15.6,2014
-122.51029994891326,51.93979353018629,2014-04-09,Person,2.5,2014
-122.15425414939968,52.12549974883288,2014-04-12,Person,1.7,2014
-122.00078266772717,52.11340590547145,2014-04-13,Person,14.9,2014
-122.11729743011321,52.26584048746879,2014-04-30,Person,5.5,2014
-122.34211917138218,52.362454767009964,2014-07-13,Person,127.2,2014
-123.0824277005948,52.46108642701387,2014-08-07,Person,1.5,2014
-122.30486830856188,51.585156889550724,2014-08-15,Lightning,15.3,2014
-121.03737710656088,52.711033422349395,2014-07-02,Lightning,452.6,2014
-120.37023317522907,52.5619418384454,2014-08-15,Lightning,5.0,2014
-121.57360889824643,51.190910725342135,2014-04-28,Person,9.8,2014
-121.05061560574896,51.762757811208054,2014-04-30,Person,7.9,2014
-121.65419875846159,51.57887790910802,2014-08-15,Lightning,1.8,2014
-120.52539948254443,51.509984144960676,2014-10-21,Person,1.8,2014
-123.14645021538277,51.98629143426692,2014-04-04,Person,8.0,2014
-123.0766023579835,51.94536570423502,2014-04-07,Person,4.2,2014
